"name","detail_link","registration_id","address","business_status"
"CDK Global, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=352820","0352820","1950 Hassell Road, Hoffman Estates, IL, 60169, USA","Expired"
"Innovis Data Solutions, Inc.","/online/DatabrokerInquire/DataBrokerInformation?businessID=352821","0352821","250 East Broad Street, Columbus, OH, 43215, USA","Expired"
"Automation Research, Inc. d/b/a DataVerify","/online/DatabrokerInquire/DataBrokerInformation?businessID=352824","0352824","250 East Broad Street, Columbus, OH, 43215, USA","Expired"
"Blackbaud, Inc.","/online/DatabrokerInquire/DataBrokerInformation?businessID=352827","0352827","65 Fairchild Street, Charleston, SC, 29492, USA","Expired"
"PossibleNOW Data Services","/online/DatabrokerInquire/DataBrokerInformation?businessID=352828","0352828","4400 Rivergreen Parkway, Suite 100, Duluth, GA, 30096, USA","Expired"
"Open Dealer Exchange, LLC dba 700 Credit, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=352837","0352837","31440 Northwestern Hwy., SUITE 250, Farmington Hills, MI, 48334, USA","Expired"
"Experian Marketing Solutions, Inc.","/online/DatabrokerInquire/DataBrokerInformation?businessID=352838","0352838","475 Anton Blvd, Costa Mesa, CA, 92626, USA","Expired"
"Path2Response","/online/DatabrokerInquire/DataBrokerInformation?businessID=352839","0352839","1805 HWY 42, 2nd Floor, Louisville, CO, 80027, USA","Expired"
"CoreLogic Solutions, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=352840","0352840","40 Pacifica, Ste 900, Irvine, CA, 92618, USA","Active"
"ALC, Inc.","/online/DatabrokerInquire/DataBrokerInformation?businessID=352841","0352841","750 College Road East, Suite 201, Princeton, NJ, 08540, USA","Expired"
"CoreLogic Background Data, LLC.","/online/DatabrokerInquire/DataBrokerInformation?businessID=352842","0352842","3001 Hackberry Rd, Irving, TX, 75063, USA","Expired"
"CoreLogic Screening Services, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=352843","0352843","3001 Hackberry Rd, Irving, TX, 75063, USA","Expired"
"Rental Property Solutions, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=352844","0352844","3001 Hackberry Rd, Irving, TX, 75063, USA","Expired"
"Drobu Media LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=352845","0352845","300 E. 56TH ST. Ste. 31H, New York, NY, 10022, USA","Expired"
"Belardi Ostroy ALC LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=352846","0352846","39 Broadway, 32nd Floor, New York, NY, 10006, USA","Expired"
"Teletrack, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=352847","0352847","10277 Scripps Ranch Blvd, San Diego, CA, 92131, USA","Expired"
"CoreLogic Credco, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=352848","0352848","10277 Scripps Ranch Blvd, San Diego, CA, 92131, USA","Expired"
"IHS Markit","/online/DatabrokerInquire/DataBrokerInformation?businessID=352849","0352849","26533 Evergreen, Ste. 1100, Southfield, MI, 48076, USA","Cancelled"
"CoreLogic Credco of Puerto Rico","/online/DatabrokerInquire/DataBrokerInformation?businessID=352850","0352850","10277 Scripps Ranch Blvd, San Diego, CA, 92131, USA","Expired"
"Dustin Blackman","/online/DatabrokerInquire/DataBrokerInformation?businessID=352851","0352851","300 E. 56TH ST. Ste. 31H, New York, NY, 10022, USA","Expired"
"All Web Leads Inc","/online/DatabrokerInquire/DataBrokerInformation?businessID=352895","0352895","7300 FM 2222, Building 2, Suite 100, Austin, TX, 78730, USA","Expired"
"TOWERDATA, INC.","/online/DatabrokerInquire/DataBrokerInformation?businessID=352966","0352966","33 Irving Place, 3rd Floor, New York, NY, 10003, USA","Expired"
"The Lead Company, Inc.","/online/DatabrokerInquire/DataBrokerInformation?businessID=352970","0352970","6757 Cascade Road SE, #205, Grand Rapids, MI, 49546, USA","Expired"
"CIC MORTGAGE CREDIT INC.","/online/DatabrokerInquire/DataBrokerInformation?businessID=352985","0352985","327 CALDWELL DRIVE, SUITE 100, GOODLETTSVILLE, TN, 37072, USA","Expired"
"HealthCare.com","/online/DatabrokerInquire/DataBrokerInformation?businessID=352996","0352996","3401 N. Miami Avenue, Unit 205, Miami, FL, 33127, USA","Expired"
"ACCUDATA INTEGRATED MARKETING, INC.","/online/DatabrokerInquire/DataBrokerInformation?businessID=353027","0353027","5220 Summerlin Commons Blvd., Ste 200, Ft. Myers, FL, 33907, USA","Expired"
"COMPACT INFORMATION SYSTEMS","/online/DatabrokerInquire/DataBrokerInformation?businessID=353084","0353084","7120 185th Ave NE, Ste 150, Redmond, WA, 98052, USA","Expired"
"AVRICK DIRECT, INC.","/online/DatabrokerInquire/DataBrokerInformation?businessID=353085","0353085","7120 185th Ave NE, PO Box 140, Redmond, WA, 98052, USA","Expired"
"ANALYTICSIQ, INC.","/online/DatabrokerInquire/DataBrokerInformation?businessID=353086","0353086","115 Perimeter Center Place, Suite 635, Atlanta, GA, 30346, USA","Expired"
"NEW ENGLAND LIST SERVICES, INC.","/online/DatabrokerInquire/DataBrokerInformation?businessID=353087","0353087","171 Mountain View Rd, Danville, VT, 05828, USA","Expired"
"THOMAS REUTERS (CRC) LLC (D/B/A REFINITIV)","/online/DatabrokerInquire/DataBrokerInformation?businessID=353196","0353196","One Station Place, Stamford, CT, 06902, USA","Expired"
"ASL MARKETING INC","/online/DatabrokerInquire/DataBrokerInformation?businessID=353280","0353280","500 Bi County Blvd, Suite 460, Farmingdale, NY, 11735, USA","Expired"
"LEXISNEXIS RISK SOLUTIONS INC. AND AFFILIATES","/online/DatabrokerInquire/DataBrokerInformation?businessID=353281","0353281","1000 Alderman Drive, Alpharetta, GA, 30005, USA","Active"
"I360, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=353282","0353282","PO BOX 663, ARLINGTON, VA, 22216, USA","Active"
"WILAND, INC.","/online/DatabrokerInquire/DataBrokerInformation?businessID=353283","0353283","7420 E. Dry Creek Parkway, Niwot, CO, 80503, USA","Expired"
"NATIONAL STUDENT CLEARINGHOUSE","/online/DatabrokerInquire/DataBrokerInformation?businessID=353284","0353284","2300 Dulles Station Blvd, Suite 220, Herndon, VA, 20171, USA","Active"
"INTELLIREAL LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=353286","0353286","1550 Peachtree Street N.W., Atlanta, GA, 30309, USA","Active"
"IXI CORPORATION","/online/DatabrokerInquire/DataBrokerInformation?businessID=353288","0353288","1550 Peachtree Street, N.W., Atlanta, GA, 30309, USA","Active"
"DATAX LTD","/online/DatabrokerInquire/DataBrokerInformation?businessID=353289","0353289","1550 Peachtree Street, N.W., Atlanta, GA, 30309, USA","Expired"
"TALX CORPORATION","/online/DatabrokerInquire/DataBrokerInformation?businessID=353290","0353290","11432 Lackland Road, St. Louis, MO, 63146, USA","Expired"
"EQUIFAX INFORMATION SERVICES LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=353291","0353291","1550 Peachtree Street, N.W., Atlanta, GA, 30309, USA","Expired"
"PROJECT APPLECART LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=353292","0353292","234 W 39th Street, 5th Floor, New York, NY, 10018, USA","Expired"
"TransUnion","/online/DatabrokerInquire/DataBrokerInformation?businessID=353319","0353319","555 W Adams, Chicago, IL, 60661, USA","Expired"
"WhitePages, Inc.","/online/DatabrokerInquire/DataBrokerInformation?businessID=353320","0353320","1301 Fifth Avenue, Seattle, WA, 98101, USA","Expired"
